"FimA_del" "WT" "FimA_over"
"yagN" 93.6953252157505 58.1403072991328 58.3009868212931
"intF" 77.9885711641086 58.5308256288225 77.1272681568562
"yagP" 211.682458195175 96.1689657775901 133.680180296606
"paoD" 78.0304756931091 51.0649721730566 32.7948383869954
"paoC" 69.2494128168044 55.185997561291 16.7121286183885
"paoB" 78.1871633953042 55.1671444528867 19.3700507431961
"paoA" 91.9774354498491 83.3563706131619 21.6378274301473
"yagU" 107.432075828361 69.872450356136 122.800992054254
"ykgJ" 326.394173747831 133.885743392944 197.689500160024
"ecpE" 86.4792199287785 43.1232032194748 35.0955888770443
"ecpD" 64.2910568281988 38.066757375816 30.8537752279358
"ecpC" 57.1345869253358 26.8442574690615 9.49860459499855
"ecpB" 69.1896122128738 24.8715013993933 6.1700111097688
"ecpA" 88.6318603682226 46.115634473195 36.3050834841586
"matA" 45.5646229471857 22.6984362231237 2.79862370986575
"ykgM" 2089.43756451838 2712.98775430627 181.078659433215
"eaeH" 55.653017717443 24.4979035779497 5.52866017985766
"insE1" 419.434373379596 269.501910185233 238.256088084498
"insF1" 108.501997150134 51.832989353636 48.8222981999423
"ykgA" 93.391930615947 52.9566130538935 11.2050485010922
"rclC" 114.195860394818 56.5297862728949 6.34048268342748
"rclA" 81.0196348190202 62.0084632086339 6.54130945277545
"rclR" 62.0462181663009 38.1275975912549 8.29940370589934
"ykgE" 52.9613041625073 34.5507602881051 5.78460540922043
"ykgF" 73.0067888479473 38.707546331474 9.76387252534528
"ykgG" 155.360334557429 83.5635855822527 16.4656698546994
"ykgH" 23.7755810306787 14.488253242365 8.1184356707484
"betA" 60.971314578229 33.2198779630785 92.5113388904296
"betB" 89.9194331260983 54.0774275721306 231.327610259052
"betI" 160.270394124493 87.1073095604795 364.261004291058
"betT" 91.6918598230651 50.6674852143443 50.4637659997217
"pdeL" 69.0239753322829 39.3509402272482 12.1110412603768
"yahB" 79.1922002959863 162.334485276105 13.1047724339823
"yahC" 151.61555267155 726.681475639803 10.4864665034266
"yahD" 98.2280356848065 754.979883277475 8.80410343409957
"yahE" 52.9835905861659 190.40215624183 5.96702902625936
"yahF" 71.4580631121999 169.900916050616 8.65027351622082
"yahG" 78.0015531938101 144.476144006657 9.49200525734948
"yahH" 264.958322975559 389.6419713146 94.031640747459
"yahI" 65.9064809149447 57.2168719416542 14.7008767875034
"yahJ" 74.4750403584599 62.8912553250066 77.2814515052474
"yahK" 431.421200464826 408.485614751702 151.941047111011
"yahL" 17.4845215629003 13.8399536416335 4.07765697688162
"yahN" 128.353914463873 103.073324662227 8.38263845769819
