Geneid	FimA_del	WT	FimA_over
ycbZ	2921	2787	2177
matP	584	447	445
ompA	12218	8150	19873
sulA	1070	1012	530
sxy	480	308	104
yccS	1522	905	402
yccF	277	171	56
helD	2353	1450	1041
mgsA	1350	1269	538
yccT	817	652	130
yccU	1946	2388	365
hspQ	8857	7575	1633
rlmI	984	603	224
yccX	570	519	110
tusE	677	717	147
yccA	2533	2330	302
serT	166	182	18
hyaA	1115	692	113
hyaB	1221	650	111
hyaC	685	391	44
hyaD	547	292	72
hyaE	264	160	34
hyaF	749	442	78
appC	1286	744	136
appB	1136	702	118
appX	155	88	21
appA	927	567	183
etk	1399	815	560
etp	200	113	32
gfcE	676	409	75
gfcD	1229	654	146
gfcC	383	204	37
gfcB	335	148	38
gfcA	173	113	215
insA4	139	98	180
insB4	908	777	1779
cspH	246	140	55
cspG	170	183	40
ymcF	35	12	4
ymcE	46	17	0
gnsA	257	194	37
yccM	771	487	110
torS	1807	1007	398
torT	807	482	129
torR	667	371	113
torC	610	319	36
torA	1864	914	161
torD	446	293	322
cbpM	942	909	599
cbpA	2637	2616	1468
yccE	169	127	20
agp	15360	20610	246
yccJ	6488	5322	934
wrbA	9520	8877	2225
ymdF	2587	5195	6546
rutG	1571	966	303
rutF	240	125	57
rutE	495	326	56
rutD	500	279	67
rutC	391	198	11
rutB	718	393	42
rutA	965	486	62
rutR	723	448	80
putA	9229	6475	640
ymdG	72	38	14
putP	5450	6965	214
efeU	767	500	873
efeO	794	407	887
efeB	951	575	629
phoH	3920	2748	320
pgaD	180	89	29
pgaC	851	431	45
pgaB	936	448	61
pgaA	1139	574	126
dgcT	353	243	78
insF4	738	411	222
insE4	152	119	98
ymdE	66	34	7
ycdU	481	309	32
serX	156	134	7
ghrA	1185	832	330
ycdX	979	757	364
ycdY	535	404	237
ycdZ	1135	1056	113
csgG	782	377	120
csgF	331	174	7
csgE	189	105	18
csgD	334	257	98
csgB	220	104	14
csgA	310	196	26
csgC	116	88	11
ymdA	169	145	25
ymdB	718	713	399
clsC	1318	1371	633
opgC	742	439	162
opgG	2150	2129	1161
opgH	2606	2552	1473
yceK	1770	1541	173
msyB	1875	1390	259
mdtG	953	629	312
lpxL	987	606	234
trhO	525	266	144
yceI	358	303	55
yceJ	317	172	28
yceO	96	83	14
solA	1172	905	292
